iso3,continent
BDI,Africa
COM,Africa
DJI,Africa
ERI,Africa
ETH,Africa
KEN,Africa
MDG,Africa
MWI,Africa
MUS,Africa
MYT,Africa
MOZ,Africa
REU,Africa
RWA,Africa
SYC,Africa
SOM,Africa
SSD,Africa
UGA,Africa
TZA,Africa
ZMB,Africa
ZWE,Africa
AGO,Africa
CMR,Africa
CAF,Africa
TCD,Africa
COG,Africa
COD,Africa
GNQ,Africa
GAB,Africa
STP,Africa
DZA,Africa
EGY,Africa
LBY,Africa
MAR,Africa
SDN,Africa
TUN,Africa
ESH,Africa
BWA,Africa
SWZ,Africa
LSO,Africa
NAM,Africa
ZAF,Africa
BEN,Africa
BFA,Africa
CPV,Africa
CIV,Africa
GMB,Africa
GHA,Africa
GIN,Africa
GNB,Africa
LBR,Africa
MLI,Africa
MRT,Africa
NER,Africa
NGA,Africa
SHN,Africa
SEN,Africa
SLE,Africa
TGO,Africa
KAZ,Asia
KGZ,Asia
TJK,Asia
TKM,Asia
UZB,Asia
CHN,Asia
HKG,Asia
MAC,Asia
TWN,Asia
PRK,Asia
JPN,Asia
MNG,Asia
KOR,Asia
AFG,Asia
BGD,Asia
BTN,Asia
IND,Asia
IRN,Asia
MDV,Asia
NPL,Asia
PAK,Asia
LKA,Asia
BRN,Asia
KHM,Asia
IDN,Asia
LAO,Asia
MYS,Asia
MMR,Asia
PHL,Asia
SGP,Asia
THA,Asia
TLS,Asia
VNM,Asia
ARM,Asia
AZE,Asia
BHR,Asia
CYP,Asia
GEO,Asia
IRQ,Asia
ISR,Asia
JOR,Asia
KWT,Asia
LBN,Asia
OMN,Asia
QAT,Asia
SAU,Asia
PSE,Asia
SYR,Asia
TUR,Asia
ARE,Asia
YEM,Asia
BLR,Europe
BGR,Europe
CZE,Europe
HUN,Europe
POL,Europe
MDA,Europe
ROU,Europe
RUS,Europe
SVK,Europe
UKR,Europe
DNK,Europe
EST,Europe
FRO,Europe
FIN,Europe
GGY,Europe
ISL,Europe
IRL,Europe
IMN,Europe
JEY,Europe
LVA,Europe
LTU,Europe
NOR,Europe
SWE,Europe
GBR,Europe
ALB,Europe
AND,Europe
BIH,Europe
HRV,Europe
GIB,Europe
GRC,Europe
VAT,Europe
ITA,Europe
MLT,Europe
MNE,Europe
MKD,Europe
PRT,Europe
SMR,Europe
SRB,Europe
SVN,Europe
ESP,Europe
AUT,Europe
BEL,Europe
FRA,Europe
DEU,Europe
LIE,Europe
LUX,Europe
MCO,Europe
NLD,Europe
CHE,Europe
AIA,Americas
ATG,Americas
ABW,Americas
BHS,Americas
BRB,Americas
BES,Americas
VGB,Americas
CYM,Americas
CUB,Americas
CUW,Americas
DMA,Americas
DOM,Americas
GRD,Americas
GLP,Americas
HTI,Americas
JAM,Americas
MTQ,Americas
MSR,Americas
PRI,Americas
BLM,Americas
KNA,Americas
LCA,Americas
MAF,Americas
VCT,Americas
SXM,Americas
TTO,Americas
TCA,Americas
VIR,Americas
BLZ,Americas
CRI,Americas
SLV,Americas
GTM,Americas
HND,Americas
MEX,Americas
NIC,Americas
PAN,Americas
ARG,Americas
BOL,Americas
BRA,Americas
CHL,Americas
COL,Americas
ECU,Americas
FLK,Americas
GUF,Americas
GUY,Americas
PRY,Americas
PER,Americas
SUR,Americas
URY,Americas
VEN,Americas
BMU,Americas
CAN,Americas
GRL,Americas
SPM,Americas
USA,Americas
AUS,Oceania
NZL,Oceania
FJI,Oceania
NCL,Oceania
PNG,Oceania
SLB,Oceania
VUT,Oceania
GUM,Oceania
KIR,Oceania
MHL,Oceania
FSM,Oceania
NRU,Oceania
MNP,Oceania
PLW,Oceania
ASM,Oceania
COK,Oceania
PYF,Oceania
NIU,Oceania
WSM,Oceania
TKL,Oceania
TON,Oceania
TUV,Oceania
WLF,Oceania
